Waktu,Simbol,Side,Entry,Exit,Lot,PnL_USD,Status
2026-04-03 14:38:46,BTC/USDT,LONG,67113.81,67128.7,0.015,0.22,FORCE_CLOSE
2026-04-03 18:41:25,BTC/USDT,LONG,66905.04,66990.44,0.021,1.79,FORCE_CLOSE
2026-04-03 19:30:08,BTC/USDT,LONG,67013.62,67263.28,0.021,5.24,CLOSED_BY_OCO
2026-04-03 19:30:55,BTC/USDT,LONG,67359.2581,67017.72,0.018,-6.15,CLOSED_BY_OCO
2026-04-03 19:31:30,BTC/USDT,LONG,67213.29,66887.71,0.018,-5.86,CLOSED_BY_OCO
2026-04-03 19:53:34,BTC/USDT,LONG,66918.76,66773.48,0.018,-2.62,CLOSED_BY_OCO
2026-04-03 21:39:41,BTC/USDT,LONG,66742.78,66898.84,0.013,2.03,FORCE_CLOSE
2026-04-03 21:53:54,BTC/USDT,LONG,66902.47,66958.6,0.005,0.28,FORCE_CLOSE
2026-04-03 22:11:27,BTC/USDT,LONG,66978.46,66987.99,0.01,0.1,FORCE_CLOSE
2026-04-03 22:25:00,BTC/USDT,LONG,66982.89,66928.65,0.1,-5.42,CLOSED_BY_OCO
